sap,"[u'http://www.sap.com/corporate-en/about/our-company/our-boards/executive-board.html', u'http://go.sap.com/about/management-team.html', u'http://www.dataxstream.com/about/executive-team/']"
ericsson,[]
chase,[u'http://www.jpmorganchase.com/corporate/About-JPMC/corporate-leadership.htm']
novartis,"[u'http://www.novartis.com/about-novartis/people/executive-committee.shtml', u'http://www.novartisoncology.com/about-us/leadership-team.jsp', u'http://www.fiercebiotech.com/story/novartis-shakes-executive-team/2008-10-20']"
fifth third bank,[u'https://www.53.com/about/corporate-governance/cg-executive-officers.html']
nike,[u'http://www.pdfsebook.com/nike-executive-team/']
bae systems,[u'http://washingtontechnology.com/blogs/editors-notebook/2014/02/bae-executive-team.aspx']
morgan stanley smith barney,"[u'http://www.financial-planning.com/news/morgan-stanley-smith-barney-executive-team-announced-2661528-1.html', u'http://www.bankinvestmentconsultant.com/news/morgan-stanley-smith-barney-executive-team-announced-2661528-1.html', u'http://www.onwallstreet.com/news/morgan-stanley-smith-barney-executive-team-announced-2661528-1.html']"
university of illinois at urbana-champaign,[u'http://www.zebra.com/us/en/about-zebra/company-information/company-leadership.html']
united states marine corps,[]
ibm global services,[]
penn state university,[]
company,url
sodexo,"[u'http://ca.sodexo.com/caen/about-sodexo/executive-team/corporate-governance.aspx', u'http://ru.sodexo.com/ruen/about-us/management-team/management-team.asp']"
fedex express,[u'http://about.van.fedex.com/newsroom/global-english/fortune-magazine-selects-fedex-exec-for-executive-dream-team/']
sprint nextel,[u'http://newsroom.sprint.com/executive-team/marcelo-claure.htm']
fannie mae,"[u'http://www.fanniemae.com/portal/about-us/company-overview/fm-leadership.html', u'http://www.telegraph.co.uk/finance/newsbysector/banksandfinance/2795397/Fannie-Mae-executive-team-axed-to-restore-confidence.html']"
chrysler,[u'http://chryslercars.info/2013/06/chrysler-executive-team/']
ubs,[u'http://ubs.jobs/executive-team-assistant/jobs-in/']
delta air lines,[u'http://www.deltabuildingservices.com/about/executive-team']
genentech,[u'http://www.gene.com/about-us/leadership/executive-committee']
fluor,[u'http://www.fluor.com/about_fluor/leadership/Pages/default.aspx']
walmart,[u'http://corporate.walmart.com/our-story/leadership/executive-management/']
general electric,"[u'http://www.ge.com/about-us/leadership/corporate-executives', u'http://www.ge.com/about-us/leadership/past-leaders', u'http://www.gecapital.com.au/our-leadership-team/']"
prudential financial,[]
jcpenney,"[u'http://www.careerbliss.com/jc-penney/salaries/executive-team-leader/', u'http://www.prnewswire.com/news-releases/jcpenney-announces-expansion-of-its-leadership-team-149084715.html']"
metlife,[u'https://www.metlife.com/about/corporate-profile/corporate-governance/executive-officers/index.html']
"ameriprise financial services, inc.",[]
va medical center,"[u'http://www.washingtondc.va.gov/about/Leadership.asp', u'http://www.hampton.va.gov/about/leadership.asp', u'http://www.coatesville.va.gov/COATESVILLE/features/Executive_Leaders_Join_Coatesville_VA_Medical_Center_Team.asp', u'http://www.atlanta.va.gov/about/leadership.asp', u'http://www.indianapolis.va.gov/about/leadership.asp']"
johnson controls,"[u'http://www.johnsoncontrols.com/content/us/en/about/our_leaders.html', u'http://www.johnsoncontrols.com/content/us/en/about/our_leaders/Officers.html']"
aecom,[u'http://www.aecom.com/About/']
lockheed martin,"[u'http://www.lockheedmartin.com/us/who-we-are/leadership/full-spectrum-leadership.html', u'http://leadershippop.com/131426/lockheed-martin-executive-leadership-team/']"
enterprise rent-a-car,[u'http://www.enterpriseholdings.com/about-us/leadership/']
costco wholesale,[u'http://addictedtocostco.com/2010/02/17/costco-executive-team-changes/']
ge capital,"[u'http://www.gecapital.com.au/our-leadership-team/', u'http://www.ge.com/about-us/leadership/corporate-executives', u'http://www.ge.com/about-us/leadership/business-executives']"
travelers insurance,[u'http://www.travelers.ie/about-us/leadership-team.aspx']
john deere,"[u'https://www.deere.com/en_US/corporate/our_company/about_us/leadership/executives/landing.page', u'http://www.brazosvalleyeq.com/company-profile/locationsstaff/executive-team/', u'http://deerequipment.com/storepages/leadership_team.html']"
aetna,"[u'https://www.aetna.com/about-us/aetna-leadership.html', u'http://www.aetna-foundation.org/foundation/about-aetna-foundation/leadership-team/index.html', u'http://consumerist.com/2009/06/06/reach-aetnas-executive-resolution-team/']"
capgemini,[]
oracle,[u'http://www.mythics.com/about/leadership-team']
microsoft,[u'http://www.microsoft.com/en-sg/aboutus/executive-team.aspx']
